feature,importance
n_items,0.28674918
n_unique_sellers,0.12879893
purchase_month,0.06341328
customer_state,0.061260384
total_freight,0.0421675
payment_total,0.039288808
order_total_value,0.038755376
product_category_name_english,0.037647165
avg_item_price,0.036493145
promised_delivery_days,0.036060963
total_price,0.035976503
avg_installments,0.033181574
n_unique_products,0.032829106
n_payment_methods,0.03270178
primary_payment_type,0.031964093
purchase_hour,0.031743728
purchase_dayofweek,0.030968543
