state,n_orders,return_rate_pct,avg_delivery_delay,revenue_lost
AL,413,23.49,-8.71,20773.93
SE,350,22.0,-10.02,19618.73
MA,747,21.82,-9.57,39247.09
RJ,12852,20.56,-11.77,480012.02
CE,1336,19.54,-10.8,59976.87
PA,975,19.49,-14.07,46816.16
BA,3380,18.88,-10.79,131674.31
PI,495,18.59,-11.31,21039.0
PB,536,16.79,-13.26,18668.51
PE,1652,16.71,-13.29,63885.69
RO,253,15.42,-20.1,9149.85
ES,2033,14.9,-10.5,59158.05
DF,2140,14.81,-12.05,58292.57
GO,2020,14.7,-12.19,61730.61
MS,715,14.69,-11.05,21323.49
SC,3637,14.68,-11.51,93025.05
AM,148,14.19,-19.57,3900.74
RN,485,14.02,-13.65,18014.45
MT,907,13.78,-14.36,30132.69
TO,280,13.57,-12.13,10232.89
RS,5466,13.34,-13.91,136799.96
MG,11635,13.32,-13.24,279953.27
SP,41746,12.7,-11.08,830990.4
PR,5045,12.43,-13.31,122423.36
