purchase_year,purchase_month,n_orders,n_bad_outcomes,return_rate_pct,revenue_lost
2016,9,4,4,100.0,354.75
2016,10,324,95,29.32,15512.32
2016,12,1,0,0.0,0.0
2017,1,800,124,15.5,24309.39
2017,2,1780,290,16.29,42479.98
2017,3,2682,387,14.43,60055.8
2017,4,2404,372,15.47,74007.6
2017,5,3700,477,12.89,75344.83
2017,6,3245,410,12.63,78686.4
2017,7,4026,492,12.22,79787.68
2017,8,4331,498,11.5,86275.71
2017,9,4285,533,12.44,106898.66
2017,10,4631,610,13.17,108455.12
2017,11,7544,1409,18.68,238857.42
2017,12,5673,921,16.23,169883.34
2018,1,7269,1122,15.44,213934.36
2018,2,6728,1403,20.85,231787.2
2018,3,7211,1633,22.65,305354.02
2018,4,6939,893,12.87,174828.02
2018,5,6873,817,11.89,157587.03
2018,6,6167,665,10.78,127109.5
2018,7,6292,699,11.11,150857.94
2018,8,6512,736,11.3,122118.02
2018,9,16,16,100.0,166.46
2018,10,4,4,100.0,
